2022-05-19 23:05:396 INFO  HomePage :39 - Link On search Cars link:[[ChromeDriver: chrome on WINDOWS (fb47495e036221978dc3fabeede11896)] -> xpath: //a[contains(text(),'Search Cars')]]
2022-05-19 23:05:274 INFO  CarSearchPage :42 - get the text of car search page text : [[ChromeDriver: chrome on WINDOWS (fb47495e036221978dc3fabeede11896)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2022-05-19 23:05:301 INFO  CarSearchPage :47 - select the make for car from drop down Toyota
2022-05-19 23:05:425 INFO  CarSearchPage :52 - select the model for car from drop down Altezza
2022-05-19 23:05:522 INFO  CarSearchPage :57 - select the location for car from drop down NSW - South Coast
2022-05-19 23:05:613 INFO  CarSearchPage :62 - select the price for car from drop down $60,000
2022-05-19 23:05:676 INFO  SearchResultPage :22 - get the text of car search result car : [[ChromeDriver: chrome on WINDOWS (fb47495e036221978dc3fabeede11896)] -> xpath: //h1[@class="listing-search-title"]]
2022-05-19 23:05:391 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-19 23:05:461 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-19 23:05:432 INFO  HomePage :34 - Mouse Hover on buy sell tab:[[ChromeDriver: chrome on WINDOWS (2471d4f95aec45b5bd138107b201b4dd)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-19 23:05:594 INFO  HomePage :39 - Link On search Cars link:[[ChromeDriver: chrome on WINDOWS (2471d4f95aec45b5bd138107b201b4dd)] -> xpath: //a[contains(text(),'Search Cars')]]
2022-05-19 23:05:751 INFO  CarSearchPage :42 - get the text of car search page text : [[ChromeDriver: chrome on WINDOWS (2471d4f95aec45b5bd138107b201b4dd)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2022-05-19 23:05:336 INFO  CarSearchPage :47 - select the make for car from drop down Hyundai
2022-05-19 23:05:536 INFO  CarSearchPage :52 - select the model for car from drop down I30
2022-05-19 23:05:631 INFO  CarSearchPage :57 - select the location for car from drop down QLD - All
2022-05-19 23:05:720 INFO  CarSearchPage :62 - select the price for car from drop down $150,000
2022-05-19 23:05:601 INFO  SearchResultPage :22 - get the text of car search result car : [[ChromeDriver: chrome on WINDOWS (2471d4f95aec45b5bd138107b201b4dd)] -> xpath: //h1[@class="listing-search-title"]]
2022-05-19 23:05:744 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-19 23:05:968 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-19 23:05:89 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-19 23:05:45 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-19 23:05:89 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-19 23:05:90 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-19 23:05:273 INFO  HomePage :34 - Mouse Hover on buy sell tab:[[ChromeDriver: chrome on WINDOWS (e605b8617400a7506c08fba51b32b8a7)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-19 23:05:655 INFO  HomePage :39 - Link On search Cars link:[[ChromeDriver: chrome on WINDOWS (e605b8617400a7506c08fba51b32b8a7)] -> xpath: //a[contains(text(),'Search Cars')]]
2022-05-19 23:05:215 INFO  CarSearchPage :42 - get the text of car search page text : [[ChromeDriver: chrome on WINDOWS (e605b8617400a7506c08fba51b32b8a7)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2022-05-19 23:05:240 INFO  CarSearchPage :47 - select the make for car from drop down Hyundai
2022-05-19 23:05:354 INFO  CarSearchPage :52 - select the model for car from drop down I30
2022-05-19 23:05:455 INFO  CarSearchPage :57 - select the location for car from drop down QLD - All
2022-05-19 23:05:543 INFO  CarSearchPage :62 - select the price for car from drop down $150,000
2022-05-19 23:05:231 INFO  SearchResultPage :22 - get the text of car search result car : [[ChromeDriver: chrome on WINDOWS (e605b8617400a7506c08fba51b32b8a7)] -> xpath: //h1[@class="listing-search-title"]]
2022-05-19 23:05:753 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-19 23:05:785 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-19 23:05:754 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-19 23:05:743 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-19 23:05:17 INFO  HomePage :34 - Mouse Hover on buy sell tab:[[ChromeDriver: chrome on WINDOWS (801d190b5200a2212cb8abcd79d7e392)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-19 23:05:176 INFO  HomePage :39 - Link On search Cars link:[[ChromeDriver: chrome on WINDOWS (801d190b5200a2212cb8abcd79d7e392)] -> xpath: //a[contains(text(),'Search Cars')]]
2022-05-19 23:05:491 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-19 23:05:553 INFO  HomePage :34 - Mouse Hover on buy sell tab:[[ChromeDriver: chrome on WINDOWS (ad01466a83f33f7a07d0f40cbfb984ad)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-19 23:05:710 INFO  HomePage :39 - Link On search Cars link:[[ChromeDriver: chrome on WINDOWS (ad01466a83f33f7a07d0f40cbfb984ad)] -> xpath: //a[contains(text(),'Search Cars')]]
2022-05-19 23:05:384 INFO  CarSearchPage :42 - get the text of car search page text : [[ChromeDriver: chrome on WINDOWS (ad01466a83f33f7a07d0f40cbfb984ad)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2022-05-19 23:05:96 INFO  CarSearchPage :47 - select the make for car from drop down Alpine
2022-05-19 23:05:347 INFO  CarSearchPage :52 - select the model for car from drop down A110
2022-05-19 23:05:439 INFO  CarSearchPage :57 - select the location for car from drop down NSW - Sydney
2022-05-19 23:05:526 INFO  CarSearchPage :62 - select the price for car from drop down $45,000
